title,rating,body
Unreliable earphones with high cost,1.0,"This  earphones are unreliable, i bought it before 15 days meanwhile right side ear buds got cracked automatically and it got divided in two parts, and sound quality is also not that much good but ok, one more thing bass is not good as it is a boat earphones.Guys,Also for the proof i have attached picsPlease see and think before buying​ this unreliable product.Thanks."
Honest review of an edm music lover,3.0,No doubt it has a great bass and to a great extent noise cancellation and decent sound clarity and mindblowing battery but the following dissapointed me though i tried a lot to adjust.1.Bluetooth range not more than 10m2. Pain in ear due the conical buds(can be removed)3. Wires are a bit long which makes it odd in front.4. No pouch provided.5. Worst part is very low quality and distoring mic. Other person keeps complaining about my voice.
Really good and durable.,4.0,"i bought itfor 999,I purchased it second time, gifted first one to brother. This is really good.Sound quality is really good.You can connect 2 devices at a time.I connect laptop and mobile both.when listening muaic on Lappy, if u get a call, it switches to mobile,this switch between device is not good but again in this price its awesome.Battery stand by is 36 hours for me, and i have used it continously for 8 hours in one go. So Battery life is pretty awesome.Comfortable on ear."
"A good earphone but with some issues, read this to find out more",4.0,"I'll get straight to the pros and cons of Boat Rockerz 255 Pro Bluetooth earphones.PROS:1. Sound- compared to the non-pro version, it seems to me that there's slight improvement in quality. Not that it is very noticeable, but a slight improvement.Bass- has got good quality and quantity of bass compared to others in the same price range. The bass is clean, tight and is not muddy like realme bluetooth earphones.Vocals- the vocals are clear and crisp.Loudness- it is loud enough to be heard in a noisy environment.2. Comfort- the earphones are comfortable to wear but without the ear guides. Maybe that's just me, but wearing along with the ear guides gave me pain in the ears which eased off once the ear guides were removed.3. Design- it is of neckband design that is comfortable to wear. The buds have got magnets in it which helps it stick to one another when hanged down so that no tangling occurs.4. Colour- comes in some trendy colours like yellow, teal green, blue and red. The youngsters would love this just for that.5. Fast charging- gets completely charged in just an hour and has got high voltage protection too.6. Sound isolation- nothing to brag about but comparable with others in the same price segment.7.Mic- the calls were very clear. The person at the other end told me that the voice was audible without any disturbances and indeed very clear.8. Connectivity- this has got the A2DP feature. So dual connectivity is present and I did not experience any connection drops of any kind.9. No Lag- there was no lag experienced while playing PUBG.CONS:1. Battery- this is the biggest gripe anyone could have with this earphone. The battery gets emptied quickly compared with its peers. Though there's fast charging one would expect headphones in this price range to last at least 10 to 12 hours but not Rockers PRO lasts for almost 6 to 8 hours. That's what I got out of them and that was not enough.2. Price- the asking price of 1599rs is high. You may get it for 1200rs during offers. Even then it is not value for money because of the poor battery backup.3. No auto on-off with magnetic buds- the feature which is present in Realme bluetooth earphones. This feature could have improved the battery life of this pair very much but alas it doesn't have it.Final words:Boat Rockerz 255 Pro bluetooth earphones are good in terms of sound quality and trendiness but lack in terms of battery backup. Though there are several pros than cons it all comes down to the battery life and this one loses out on that badly.Other options in the same price range - LoodAudio Everloop (good @1169rs), Boat rockerz 255( when in offer @ 999rs), Blaupunkt BE50(999rs during offer or even @ 1399rs), Sony WI-200( pricey @1699rs and high in treble), Realme bluetooth earphones(@1599rs poor in sound quality but better in all other terms).Thank you for reading. Cheers!!!"
Charging port not working,1.0,"After 11 days, the charging port isn't working and now I can't even return it. Wat to do ?? I know there is one year warranty but it is only been 11 days. C'mon boat, please send me new one."
धांसू Bass & जबरदस्त Battery.,4.0,"Hey Guys,,,,,,, it's Value for money if you get under ₹1500. Bass was quite good it's thumping & Deep Bass tuned for Basshead type peoples. Vocals and treble also balanced if you used this below 80% volume. Instruments separation also quite nice. Battery Performance was Outstanding you got approximately 33-34 hours on 100% volume. While gaming little bit or minor delays in video & Audio but when watching videos on youtube or other video platforms on smartphone i didn't notice any delays. Also comfortable in my testing when using continuously 6 hours. Dual pairing worked. IPX7 water certification is good i tested it properly no issues. But you didn't get call vibration feature also no smart magnetic earbuds.I gave 4 stars because of overwhelming Bass on full volume.-:UPDATE CONS:- Guys still(9th feb) Using as primary earphone i Observed slight Hissss Noise in Background while listening music or watching videos. I observe more while not in use i means connected with smartphone but not in use or playing music. It's Big Con for a Audiophile type person. Keep it in mind before Buy."
Just Awesome Wireless Headphone under 1000...😉,5.0,Its Awesome... Good sound quality & 8-9 hrs battery life... Just waww look... 😉 I brought just 999 rupees...But Amazon's Packageing system is Very bad... Very poor packaging... Flipcart's packaging system is much better than Amazon...
stopped working in just 14 days,1.0,Its sound quality is adorable. overall it was good but just for 2 weeks after that it stopped working and since then it never powered on again. I am claiming for warrenty and it is still undergoing.
Great sound with worst mic.,3.0,After one month usage reviewing this .Pros-1- sound quality2- design3- weight4- batteryCons1- very bad mic for talking2- can't use while riding bike3 - Music is too loud
Very very bad Durabity,1.0,The product durability is 1 month..I just lost my bill details so i cant claim my warrenty .. But this earphones built quality is bad . It stops wrking completely after 1 month sep 14 to nov 11 👈 life span .. Dont lose ur bill details incase u want that warranty..  And after purchasing u must register ur product in boat's site for replacement and warranty
