title,rating,body
Horrible product,1.0,Very disappointed with the overall performance from Samsung
Overall,4.0,"Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying"
Camera quality is not like 48 megapixel,3.0,Camera quality is low
A big no from me,1.0,"1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide."
Put your money somewhere else,1.0,"Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE"
Worst samsung mobile ever,1.0,This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.
Too much lagging and slow,1.0,I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.
कैसा दिखाते है उसका 10 % भी नही,1.0,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे
Slow performance,1.0,The phone hangs a lot and is very slow. I received a replacement which continues to hang
Don’t buy from Amazon.,1.0,Very poor quality camera .Found box seal damage still Amazon not taking it back.waste of money.Phone very slow.Don’t buy from Amazon.Now Amazon started cheating customers to make profits.
Horrible product,1.0,Very disappointed with the overall performance from Samsung
Overall,4.0,"Got the mobile on the launch date,Battery must be appreciatedCamera is just averageMobile performance is above average90hz refresh rate? If u r buying the mobile for this feature then I'm afraid u may get disappointed, it's just normal.The USB cable is too small in lengthIt's a good mobile in this budget, there are no returns for this,  only replacement is available, hence choose wisely before buying"
Camera quality is not like 48 megapixel,3.0,Camera quality is low
A big no from me,1.0,"1. It doesn't work with 5.0GHz WiFi frequency. 2.4GHz is very old school.2. Camera quality is pathetic (both front and back). Forget about 48MP, pictures are all blur, poorer than a 4MP one.3. Amazon didn't allow to write a review until they sold most of the stock, something very fishy.4. No return policy, you will have to live with the phone you didn't like. Now you decide."
Put your money somewhere else,1.0,"Not worth buying....faulty software, poor display quality, single band wifi doesn't support  5ghz WIFI band. Gyro sensor missing and many more. DONT GO BY PAID REVIEWS IN YOU TUBE"
Worst samsung mobile ever,1.0,This is worst samsung mobile I have seen from samsung. It's sceen quality and colors are trash. Even a old 5000 rs phone can beat it's quality. Please never ever buy this product.
Too much lagging and slow,1.0,I will never purchase Samsung phones. Phone is lagging too much and slow. Waste of hard earning money.
कैसा दिखाते है उसका 10 % भी नही,1.0,मोबाइल का कैमरा बिल्कुल भी सही नही है 48 PM बताया और क्लियरिटी 5 मेगा पिक्सल का भी नही है ।मोबाइल भी पुराना सा दिखता है ।इसको नही खरीदे
Slow performance,1.0,The phone hangs a lot and is very slow. I received a replacement which continues to hang
